customer_id,institution_name,country,scanner_model,institution_type,has_questionnaire,has_event_logs,has_parquet,parquet_size_mb,total_events,mri_events,mri_pct,error_count,warning_count,has_dcs_docs,mapping_status
mr141049,,,,,False,True,True,55.26,31576681,20657719,65.4,360858,1213996,True,unmatched
mr155687,,,,,False,True,True,53.26,32556078,21393705,65.7,391929,1540372,True,unmatched
mr175693,,,,,False,True,True,23.04,11833462,8170563,69.0,113794,243272,True,unmatched
mr175727,,,,,False,True,True,3.42,2262088,1523817,67.4,68935,106687,True,unmatched
mr175832,,,,,False,True,True,38.5,24614143,17009607,69.1,193469,1666584,True,unmatched
mr176133,,,,,False,True,True,88.36,50466880,31329037,62.1,1937635,1062910,True,unmatched
mr176430,,,,,False,True,True,91.16,31028506,21154498,68.2,412323,1671779,True,unmatched
mr176659,,,,,False,True,True,28.34,15534802,9792397,63.0,895391,703545,True,unmatched
mr176750,,,,,False,True,True,22.07,9151836,6774311,74.0,427788,472552,True,unmatched
mr176802,,,,,False,True,True,57.06,19090111,13296494,69.7,395754,767988,True,unmatched
mr176887,,,,,False,True,True,21.69,9946643,6513568,65.5,96785,259511,True,unmatched
mr177658,,,,,False,True,True,35.17,21768552,13711796,63.0,1068170,2430722,True,unmatched
mr183848,,,,,False,True,True,23.05,11018525,7637397,69.3,250855,289844,True,unmatched
mr188001,,,,,False,True,False,0.0,43602030,23087510,53.0,1230362,1430779,True,unmatched
mr189541,,,,,False,True,True,54.45,26513097,15021422,56.7,241586,591044,True,unmatched
mr189701,,,,,False,True,True,66.74,26187889,14535416,55.5,1870178,727691,True,unmatched
mr189779,,,,,False,True,True,36.56,20060012,13368184,66.6,166257,439511,True,unmatched
mr189880,,,,,False,True,True,15.57,11253312,7530636,66.9,575642,997134,True,unmatched
mr190001,,,,,False,True,True,54.19,53176621,26279109,49.4,1100222,3196485,True,unmatched
mr190192,,,,,False,True,True,87.23,50308972,30313847,60.3,4736038,1411934,True,unmatched
mr190293,,,,,False,True,True,75.45,34809748,21222957,61.0,2817184,1580838,True,unmatched
mr190387,,,,,False,True,True,47.3,21837535,12953443,59.3,559015,559689,True,unmatched
mr190395,,,,,False,True,True,41.65,28319837,19016797,67.2,1578719,1781070,True,unmatched
mr190519,,,,,False,True,True,61.22,22081290,12387982,56.1,622108,827938,True,unmatched
mr193521,,,,,False,True,True,17.15,7813250,5939209,76.0,580833,272285,True,unmatched
mr194220,,,,,False,True,True,15.93,6877185,4660264,67.8,30552,148309,True,unmatched
mr196296,,,,,False,True,True,52.13,24379292,14547314,59.7,483029,735192,True,unmatched
mr200103,,,,,False,True,True,6.81,3367620,2239233,66.5,49554,240176,True,unmatched
mr202008,,,,,False,True,True,33.21,16795510,10042647,59.8,209715,1043153,True,unmatched
mr202045,,,,,False,True,True,90.19,53048931,33644400,63.4,1597201,4884922,True,unmatched
mr202551,,,,,False,True,True,28.22,12547395,7835631,62.4,104308,364902,True,unmatched
mr202596,,,,,False,True,True,37.33,17535713,10677002,60.9,1676212,845392,True,unmatched
mr213726,,,,,False,True,True,23.56,4180227,2340263,56.0,47595,175881,True,unmatched
mr214701,,,,,False,True,True,10.4,3909473,3035166,77.6,39188,375314,True,unmatched
mr237202,,,,,False,True,True,13.81,7543267,4358311,57.8,584726,350760,True,unmatched
