filename,title,description,language,modality,body_region,file_size_bytes
AAST Kidney Injury Grade-50298,AAST Kidney Injury Grade-50298,,en,Other,Abdomen,4593
Aast Kidney Injury Grade,Aast Kidney Injury Grade,,en,Other,Abdomen,4513
Aast leverschade Grade,Aast leverschade Grade,,en,Other,General,4804
AAST Liver Injury Grade,AAST Liver Injury Grade,,en,Other,Abdomen,3026
Aast Spleen Injury Grade,Aast Spleen Injury Grade,,en,Other,General,4598
Abdomen Series,Abdomen Series,,en,Other,Abdomen,4095
Abdomen Xray,Abdomen Xray,,en,Xray,Abdomen,5661
ABD_PEL CT,ABD_PEL CT,,en,Other,General,8131
Akciğer grafisi-50146,Akciğer grafisi-50146,,en,Other,General,4352
Akciğer grafisi,Akciğer grafisi,,en,Other,General,5469
Akciğer Xray,Akciğer Xray,,en,Xray,General,5479
Ankle Xray,Ankle Xray,,en,Xray,Extremity,4957
Ayak bileği grafisi,Ayak bileği grafisi,,en,Other,General,493
Aξονική τομογραφία εγκεφάλου,Aξονική τομογραφία εγκεφάλου,,en,Other,General,2826
Aξονική τομογραφία θώρακα,Aξονική τομογραφία θώρακα,,en,Other,General,3605
Batın grafisi,Batın grafisi,,en,Other,General,3415
Batın serisi,Batın serisi,,en,Other,General,5827
Bilateral Wrist Xray,Bilateral Wrist Xray,,en,Xray,General,4151
Bladder Reflux,Bladder Reflux,,en,Other,Pelvis,3795
Bone Age,Bone Age,,en,Other,General,7716
Bone Survey,Bone Survey,,en,Other,General,4639
BT Servikal Omurga,BT Servikal Omurga,,en,Other,General,675
Böbrek Kitlesi MR,Böbrek Kitlesi MR,,en,Other,General,3861
Cardiac MRI_ Adenosine Stress Protocol,Cardiac MRI_ Adenosine Stress Protocol,,en,MRI,Chest,8749
Cardiac MRI_ Function and Viability,Cardiac MRI_ Function and Viability,,en,MRI,Chest,19863
Cardiac MRI_ Right Heart Failure,Cardiac MRI_ Right Heart Failure,,en,MRI,Chest,13074
CBCT Odontogenic Tumor,CBCT Odontogenic Tumor,,en,CT,General,804
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,ACR LI-RADS  TEST,The Liver Imaging Reporting and Data System is for the reporting and data collection of CT and MR imaging for hepatocellular carcinoma (HCC). ,en,Other,General,25908
CDE_ BI-RADS Assessment Categories -TEST,CDE: BI-RADS Mammography Assessment Category,"Sickles, EA, D&acirc;Â€Â™Orsi CJ, Bassett LW, et al. ACR BI-RADS&reg; Mammography. In: ACR BI-RADS&reg; Atlas, Breast Imaging Reporting and Data System. Reston, VA, American College of Radiology; 2013",en,Other,General,15719
Cervical Cancer Follow Up MRI,Cervical Cancer Follow-up MRI,,en,MRI,Spine,12287
Cervical Cancer Follow-Up CT,Cervical Cancer Follow-up CT,,en,Other,Spine,12515
Cervical Cancer Staging MRI,Cervical Cancer Staging MRI,,en,MRI,Spine,26561
Cervical cancer staging,Cervical cancer staging,,en,Other,Spine,1977
Chest radiograph for tuberculosis,Chest radiograph for Tuberculosis,Chest Radiograph in the Setting of Suspected Latent or Active Tuberculosis,en,Xray,Chest,14892
Chest Tube Removal,Chest Tube Removal,,en,Other,Chest,4201
Chest Xray - 2 Views,Chest Xray - 2 Views,,en,Xray,Chest,8059
Chest Xray - PICC,Chest Xray - PICC,,en,Xray,Chest,3689
Cistouretrografia minzionale,Cistouretrografia minzionale,,en,Other,General,647
CLISMA NEONATALE,CLISMA NEONATALE,,en,Other,General,337
Colangiopancreatografia RM-50133,Colangiopancreatografia RM-50133,,en,Other,Abdomen,1569
Colangiopancreatografia RM,Colangiopancreatografia RM,,en,Other,Abdomen,374
Communication of Actionable Findings,Communication of Actionable Findings,,en,Other,General,2894
CT Abdomen & Pelvis w Contrast,CT Abdomen and Pelvis,,en,CT,Abdomen,20244
CT Abdomen & Pelvis,CT Abdomen & Pelvis,,en,CT,Abdomen,16087
CT AbdPel- Appendicitis,CT AbdPel - Appendicitis,Generic Abdomen Pelvis CT w contrast template incorporating appendicitis CDE,en,CT,General,23193
CT Acute pancreatitis,CT Acute Pancreatitis,Acute pancreatitis,en,CT,Abdomen,26717
CT Agiography Head and Neck Vessels W Contrast,CT Agiography Head and Neck Vessels W Contrast,,en,CT,Head/Brain,3292
CT and MR Liver - LI-RADS,CT and MR Liver - LI-RADS,,en,CT,Abdomen,38684
CT angio abdomen - live liver donor,CT Body Liver,,en,CT,Abdomen,32372
CT Angiography Head and Neck W Contrast - Stroke Protocol,CT Angiography Head and Neck W Contrast - Stroke Protocol,,en,CT,Head/Brain,4600
CT Angiography Head W Contrast,CT Angiography Head W Contrast,,en,CT,Head/Brain,1955
CT Angiography Neck W Contrast,CT Angiography Neck W Contrast,,en,CT,Vascular,3061
CT Angiography or CT Enterography - GI Bleed,CT Angiography or CT Enterography - GI Bleed,,en,CT,Vascular,27460
CT Angiography Transcatheter Mitral Valve Replacement,CT Angiography Transcatheter Mitral Valve Replacement,,en,CT,Vascular,39039
CT Appendicitis,CT Appendicitis,,en,CT,General,9070
CT Brain-50529,Neuro CT Head Trauma,,en,CT,Head/Brain,9109
CT Brain,CT Brain,,en,CT,Head/Brain,7063
CT Calcium Score,CT Calcium Score,,en,CT,General,11423
CT Cerebrum,CT Cerebrum,,en,CT,Head/Brain,7063
CT Cervical Spine WO Contrast,CT Cervical Spine WO Contrast,,en,CT,Spine,3197
