category,count
Other_General,152
MRI_General,53
CT_General,47
MRI_Head/Brain,26
Other_Abdomen,22
MRI_Spine,17
Ultrasound_General,12
Xray_General,11
CT_Chest,11
Ultrasound_Abdomen,9
CT_Head/Brain,8
CT_Abdomen,7
Other_Spine,6
Other_Chest,6
Xray_Extremity,5
MRI_Chest,3
Xray_Chest,3
CT_Vascular,3
CT_Spine,3
Other_Head/Brain,3
MRI_Pelvis,3
Ultrasound_Pelvis,3
Other_Pelvis,2
CT_Extremity,2
Nuclear_General,2
Xray_Abdomen,1
CT_Pelvis,1
Other_Vascular,1
Fluoroscopy_General,1
Xray_Spine,1
MRI_Extremity,1
MRI_Abdomen,1
Xray_Head/Brain,1
Ultrasound_Extremity,1
Ultrasound_Head/Brain,1
