template,code,meaning
AAST Kidney Injury Grade-50298,RID205,kidney
AAST Kidney Injury Grade-50298,RID4628,injury
Aast Kidney Injury Grade,RID205,kidney
Aast Kidney Injury Grade,RID4628,injury
Abdomen Series,RID56,abdomen
Abdomen Series,RID130,intestine
Abdomen Series,RID4803,pneumoperitoneum
Abdomen Series,RID10345,projection radiography
Abdomen Series,RID1559,procedure
Abdomen Series,RID13166,clinical information
Abdomen Series,RID28483,comparison
Abdomen Series,RID4803,pneumoperitoneum
Abdomen Series,RID28453,abnormal
Abdomen Series,RID34642,calcifications
Abdomen Series,RID28569,set of bones
Abdomen Series,RID13170,impression section
Abdomen Xray,RID56,abdomen
Abdomen Xray,RID10345,projection radiography
Abdomen Xray,RID1559,procedure
Abdomen Xray,RID13166,clinical information
Abdomen Xray,RID56,abdomen
Abdomen Xray,RID28803,pain
Abdomen Xray,RID5787,distended
Abdomen Xray,RID56,abdomen
Abdomen Xray,RID28707,placement
Abdomen Xray,RID5566,nasogastric tube
Abdomen Xray,RID5729,postoperative
Abdomen Xray,RID28483,comparison
Abdomen Xray,RID28453,abnormal
Abdomen Xray,RID34642,calcifications
Abdomen Xray,RID28569,set of bones
Abdomen Xray,RID13173,normal
Abdomen Xray,RID13170,impression section
Akciğer grafisi-50146,RID10345,projection radiography
Akciğer grafisi-50146,RID1243,thorax
Akciğer grafisi-50146,RID1559,procedure
Akciğer grafisi-50146,RID13166,clinical information
Akciğer grafisi-50146,RID28483,comparison
Akciğer grafisi-50146,RID1385,heart
Akciğer grafisi-50146,RID13437,lungs
Akciğer grafisi-50146,RID28569,set of bones
Akciğer grafisi-50146,RID13170,impression section
Ankle Xray,RID28545,ankle
Ankle Xray,RID10345,projection radiography
Ankle Xray,RID5821,side (laterality)
Ankle Xray,RID5825,right
Ankle Xray,RID5824,left
Ankle Xray,RID5771,bilateral
Ankle Xray,RID13060,imaging procedure
Ankle Xray,RID13166,clinical information
Ankle Xray,RID28483,comparison
Ankle Xray,RID28569,bones (set of bones)
Ankle Xray,RID5387,demineralization
Ankle Xray,RID28711,set of joints
Ankle Xray,RID13170,impression section
Bilateral Wrist Xray,RID10345,projection radiography
Bilateral Wrist Xray,RID2177,wrist
Bilateral Wrist Xray,RID1559,procedure
Bilateral Wrist Xray,RID28483,comparison
Bilateral Wrist Xray,RID28569,set of bones
Bilateral Wrist Xray,RID28711,set of joints
Bilateral Wrist Xray,RID35730,portion of soft tissue
Bilateral Wrist Xray,RID13170,impression section
Bladder Reflux,RID237,urinary bladder
Bladder Reflux,RID5261,vesicoureteral reflux
Bladder Reflux,RID1559,procedure
Bladder Reflux,RID13166,clinical information
Bladder Reflux,RID28483,comparison
Bladder Reflux,RID13170,impression section
Bone Age,RID13197,bone organ
Bone Age,RID5641,child
Bone Age,RID13208,skeletal system
Bone Age,RID1559,procedure
Bone Age,RID5824,left
Bone Age,RID2318,hand
Bone Age,RID5825,right
Bone Age,RID2318,hand
Bone Age,RID13166,clinical information
Bone Age,RID28483,comparison
Bone Age,RID28486,observations section
Bone Age,RID13173,normal
Bone Survey,RID13197,bone organ
Bone Survey,RID10345,projection radiography
Bone Survey,RID28569,set of bones
Bone Survey,RID1559,procedure
Bone Survey,RID28483,comparison
Bone Survey,RID28569,set of bones
Bone Survey,RID13173,normal
Bone Survey,RID5387,demineralization
Bone Survey,RID28711,set of joints
Bone Survey,RID5086,intervertebral disc degeneration
Bone Survey,RID13170,impression section
Cardiac MRI_ Adenosine Stress Protocol,RID10490,adenosine stress
Cardiac MRI_ Adenosine Stress Protocol,RID1385,heart
Cardiac MRI_ Adenosine Stress Protocol,RID10312,magnetic resonance imaging
Cardiac MRI_ Adenosine Stress Protocol,RID10490,adenosine stress
Cardiac MRI_ Adenosine Stress Protocol,RID13166,clinical information
Cardiac MRI_ Adenosine Stress Protocol,RID28483,comparison
Cardiac MRI_ Adenosine Stress Protocol,RID10376,perfusion
Cardiac MRI_ Adenosine Stress Protocol,RID13060,imaging procedure
Cardiac MRI_ Adenosine Stress Protocol,RID28658,under stress
Cardiac MRI_ Adenosine Stress Protocol,RID10376,perfusion
Cardiac MRI_ Adenosine Stress Protocol,RID12535,at rest
Cardiac MRI_ Adenosine Stress Protocol,RID13060,imaging procedure
Cardiac MRI_ Adenosine Stress Protocol,RID10928,cine loop
Cardiac MRI_ Adenosine Stress Protocol,RID28668,volume
Cardiac MRI_ Adenosine Stress Protocol,RID28668,volume
Cardiac MRI_ Adenosine Stress Protocol,RID5178,stroke
Cardiac MRI_ Adenosine Stress Protocol,RID28668,volume
Cardiac MRI_ Adenosine Stress Protocol,RID3874,mass
Cardiac MRI_ Adenosine Stress Protocol,RID1386,cardiac chamber
Cardiac MRI_ Adenosine Stress Protocol,RID13822,wall of lateral ventricle
Cardiac MRI_ Adenosine Stress Protocol,RID1392,left ventricle
Cardiac MRI_ Adenosine Stress Protocol,RID13432,diameter
Cardiac MRI_ Adenosine Stress Protocol,RID38772,(unspecified)
Cardiac MRI_ Adenosine Stress Protocol,RID13170,impression section
Cardiac MRI_ Function and Viability,RID28812,function
Cardiac MRI_ Function and Viability,RID1385,heart
Cardiac MRI_ Function and Viability,RID10312,magnetic resonance imaging
Cardiac MRI_ Function and Viability,RID3236,myocardial infarction
Cardiac MRI_ Function and Viability,RID1398,myocardium
Cardiac MRI_ Function and Viability,RID28821,viability
Cardiac MRI_ Function and Viability,RID1559,procedure
Cardiac MRI_ Function and Viability,RID11613,gadolinium chelate
Cardiac MRI_ Function and Viability,RID28483,comparison
Cardiac MRI_ Function and Viability,RID28454,none
Cardiac MRI_ Function and Viability,RID28486,observations section
Cardiac MRI_ Function and Viability,RID1392,left ventricle
Cardiac MRI_ Function and Viability,RID10409,measurement
Cardiac MRI_ Function and Viability,RID1394,aortic valve
Cardiac MRI_ Function and Viability,RID28668,volume
Cardiac MRI_ Function and Viability,RID5935,regurgitant flow
Cardiac MRI_ Function and Viability,RID28668,volume
Cardiac MRI_ Function and Viability,RID482,supraaortic valve area
Cardiac MRI_ Function and Viability,RID1395,mitral valve
Cardiac MRI_ Function and Viability,RID5935,regurgitant flow
Cardiac MRI_ Function and Viability,RID28668,volume
Cardiac MRI_ Function and Viability,RID5935,regurgitant flow
Cardiac MRI_ Function and Viability,RID580,ascending aorta
Cardiac MRI_ Function and Viability,RID13432,diameter
Cardiac MRI_ Function and Viability,RID1390,left atrium
Cardiac MRI_ Function and Viability,RID1390,left atrium
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID5821,laterality
Cardiac MRI_ Function and Viability,RID29046,zone of heart
Cardiac MRI_ Function and Viability,RID5823,inferior
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID34906,cardiac septum
Cardiac MRI_ Function and Viability,RID29046,zone of heart
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID5821,laterality
Cardiac MRI_ Function and Viability,RID29046,zone of heart
Cardiac MRI_ Function and Viability,RID5823,inferior
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID34906,cardiac septum
Cardiac MRI_ Function and Viability,RID29046,zone of heart
Cardiac MRI_ Function and Viability,RID5818,anterior
Cardiac MRI_ Function and Viability,RID5693,global
Cardiac MRI_ Function and Viability,RID28812,function
Cardiac MRI_ Function and Viability,RID13173,normal
Cardiac MRI_ Function and Viability,RID5671,mild
Cardiac MRI_ Function and Viability,RID5672,moderate
Cardiac MRI_ Function and Viability,RID5673,severe
Cardiac MRI_ Function and Viability,RID13173,normal
Cardiac MRI_ Function and Viability,RID5671,mild
Cardiac MRI_ Function and Viability,RID5672,moderate
Cardiac MRI_ Function and Viability,RID5673,severe
Cardiac MRI_ Function and Viability,RID1392,left ventricle
Cardiac MRI_ Function and Viability,RID3260,valvular heart disease
Cardiac MRI_ Right Heart Failure,RID1385,heart
Cardiac MRI_ Right Heart Failure,RID10312,magnetic resonance imaging
Cardiac MRI_ Right Heart Failure,RID1559,procedure
Cardiac MRI_ Right Heart Failure,RID13166,clinical information
Cardiac MRI_ Right Heart Failure,RID28483,comparison
Cardiac MRI_ Right Heart Failure,RID1394,aortic valve
Cardiac MRI_ Right Heart Failure,RID13173,normal
Cardiac MRI_ Right Heart Failure,RID4969,shunt
Cardiac MRI_ Right Heart Failure,RID13170,impression section
Cardiac MRI_ Right Heart Failure,RID5693,global
Cardiac MRI_ Right Heart Failure,RID28812,function
Cardiac MRI_ Right Heart Failure,RID13173,normal
Cardiac MRI_ Right Heart Failure,RID5671,mild
Cardiac MRI_ Right Heart Failure,RID5672,moderate
Cardiac MRI_ Right Heart Failure,RID5673,severe
Cardiac MRI_ Right Heart Failure,RID5693,global
Cardiac MRI_ Right Heart Failure,RID28812,function
Cardiac MRI_ Right Heart Failure,RID13173,normal
Cardiac MRI_ Right Heart Failure,RID5671,mild
Cardiac MRI_ Right Heart Failure,RID5672,moderate
Cardiac MRI_ Right Heart Failure,RID5673,severe
Cardiac MRI_ Right Heart Failure,RID11113,intracardiac
Cardiac MRI_ Right Heart Failure,RID4969,shunt
Cardiac MRI_ Right Heart Failure,RID3260,valvular heart disease
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39486,washout appearance
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID43350,threshold growth (liver mass)
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39483,tumor in vein (LI-RADS)
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39439,capsule appearance (liver)
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39468,mild-moderate T2 hyperintensity
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39149,mosaic architecture
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID13432,diameter
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID10311,imaging modality
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID10321,computed tomography
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID10312,magnetic resonance imaging
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49813,hepatobiliary phase hypointensity
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID43349,restricted diffusion
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39458,homogeneous marked T2 hyperintensity
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID39463,intralesional fat
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28472,present
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID28473,absent
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49823,LI-RADS assessment
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49794,LR-1
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49795,LR-2
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49796,LR-3
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49797,LR-4
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49799,LR-5
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49802,LR-5V
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49803,LR-M
CDE_ ACR LI-RADS_ Liver Imaging Reporting and Data System TEST,RID49804,LR-Treated
CDE_ BI-RADS Assessment Categories -TEST,RID13162,patient date of birth
CDE_ BI-RADS Assessment Categories -TEST,RID36027,BI-RADS assessment
CDE_ BI-RADS Assessment Categories -TEST,RID36036,BI-RADS 0
CDE_ BI-RADS Assessment Categories -TEST,RID36028,BI-RADS 1
CDE_ BI-RADS Assessment Categories -TEST,RID36029,BI-RADS 2
CDE_ BI-RADS Assessment Categories -TEST,RID36041,BI-RADS 3
CDE_ BI-RADS Assessment Categories -TEST,RID36031,BI-RADS 4A
CDE_ BI-RADS Assessment Categories -TEST,RID36032,BI-RADS 4B
CDE_ BI-RADS Assessment Categories -TEST,RID36033,BI-RADS 4C
CDE_ BI-RADS Assessment Categories -TEST,RID36034,BI-RADS 5
CDE_ BI-RADS Assessment Categories -TEST,RID36035,BI-RADS 6
CDE_ BI-RADS Assessment Categories -TEST,RID49902,breast tissue
CDE_ BI-RADS Assessment Categories -TEST,RID49694,almost entirely fat
CDE_ BI-RADS Assessment Categories -TEST,RID34274,scattered fibroglandular densities
CDE_ BI-RADS Assessment Categories -TEST,RID34275,heterogeneously dense
CDE_ BI-RADS Assessment Categories -TEST,RID34276,extremely dense
CDE_ BI-RADS Assessment Categories -TEST,RID13161,medical record number
CDE_ BI-RADS Assessment Categories -TEST,RID13160,patient name
CDE_ BI-RADS Assessment Categories -TEST,RID36027,BI-RADS assessment
CDE_ BI-RADS Assessment Categories -TEST,RID36036,BI-RADS 0
CDE_ BI-RADS Assessment Categories -TEST,RID36028,BI-RADS 1
CDE_ BI-RADS Assessment Categories -TEST,RID36029,BI-RADS 2
CDE_ BI-RADS Assessment Categories -TEST,RID36041,BI-RADS 3
CDE_ BI-RADS Assessment Categories -TEST,RID36031,BI-RADS 4A
CDE_ BI-RADS Assessment Categories -TEST,RID36032,BI-RADS 4B
CDE_ BI-RADS Assessment Categories -TEST,RID36033,BI-RADS 4C
CDE_ BI-RADS Assessment Categories -TEST,RID36034,BI-RADS 5
CDE_ BI-RADS Assessment Categories -TEST,RID36035,BI-RADS 6
CDE_ BI-RADS Assessment Categories -TEST,RID13163,patient age
CDE_ BI-RADS Assessment Categories -TEST,RID39050,symptom
CDE_ BI-RADS Assessment Categories -TEST,RID5638,patient descriptor
CDE_ BI-RADS Assessment Categories -TEST,RID13165,patient ethnicity
CDE_ BI-RADS Assessment Categories -TEST,RID13165,patient ethnicity
CDE_ BI-RADS Assessment Categories -TEST,RID13165,patient ethnicity
CDE_ BI-RADS Assessment Categories -TEST,RID13159,patient identifier
CDE_ BI-RADS Assessment Categories -TEST,RID13164,patient gender
CDE_ BI-RADS Assessment Categories -TEST,RID13164,patient gender
CDE_ BI-RADS Assessment Categories -TEST,RID13164,patient gender
Cervical Cancer Follow Up MRI,RID1559,procedure
Cervical Cancer Follow Up MRI,RID13170,impression section
Cervical Cancer Follow Up MRI,RID28483,comparison
Cervical Cancer Follow Up MRI,RID30958,endometrium
Cervical Cancer Follow Up MRI,RID13166,clinical information section
Cervical Cancer Follow Up MRI,RID302,uterus
Cervical Cancer Follow-Up CT,RID13170,impression section
Cervical Cancer Follow-Up CT,RID1559,procedure
Cervical Cancer Follow-Up CT,RID410,peritoneum
Cervical Cancer Follow-Up CT,RID31090,set of ureters
Cervical Cancer Follow-Up CT,RID39537,set of ovaries
Cervical Cancer Follow-Up CT,RID13169,comparison image
Cervical Cancer Follow-Up CT,RID13166,clinical information section
Cervical Cancer Follow-Up CT,RID302,uterus
Cervical Cancer Follow-Up CT,RID28769,imaging with IV contrast
Cervical Cancer Follow-Up CT,RID35817,oral contrast
Cervical Cancer Staging MRI,RID308,cervix of uterus
Cervical Cancer Staging MRI,RID6263,exophytic
Cervical Cancer Staging MRI,RID6263,exophytic
Cervical Cancer Staging MRI,RID6282,infiltrative
Cervical Cancer Staging MRI,RID6282,infiltrative
Cervical Cancer Staging MRI,RID30760,pelvic wall
Cervical Cancer Staging MRI,RID13170,impression section
Cervical Cancer Staging MRI,RID32830,left ovary
Cervical Cancer Staging MRI,RID32829,right ovary
Cervical Cancer Staging MRI,RID30958,endometrium
Cervical Cancer Staging MRI,RID28483,comparison
Cervical Cancer Staging MRI,RID11181,rectal
Cervical Cancer Staging MRI,RID302,uterus
Cervical Cancer Staging MRI,RID38806,anteverted
Cervical Cancer Staging MRI,RID38807,retroverted
Cervical Cancer Staging MRI,RID39240,retroflexed
Cervical Cancer Staging MRI,RID5840,displaced
Cervical Cancer Staging MRI,RID5840,displaced
Cervical Cancer Staging MRI,RID30135,wall of urinary bladder
Cervical Cancer Staging MRI,RID13166,clinical information section
Cervical Cancer Staging MRI,RID1559,procedure
Cervical Cancer Staging MRI,RID1541,ascites
Chest radiograph for tuberculosis,RID3820,fibrosis
Chest radiograph for tuberculosis,RID28530,opacity
Chest radiograph for tuberculosis,RID28528,traction bronchiectasis
Chest radiograph for tuberculosis,RID3953,granuloma
Chest radiograph for tuberculosis,RID1559,procedure
