customer_id,total_events,total_unique_patterns,mri_events,mri_pct,error_rate,warning_rate,top_source_1,top_source_1_pct,unique_sources,event_diversity_index
mr141049,31576681,200,20657719,65.4,0.0114,0.0384,MRI_FRR,0.2047,20,2.8854
mr155687,32556078,200,21393705,65.7,0.012,0.0473,MRI_FRR,0.1781,20,3.2995
mr175693,11833462,200,8170563,69.0,0.0096,0.0206,MRI_TBC,0.0934,24,3.5995
mr175727,2262088,200,1523817,67.4,0.0305,0.0472,MRI_MPU,0.0567,30,3.9625
mr175832,24614143,200,17009607,69.1,0.0079,0.0677,MRI_GIM,0.0956,23,3.7204
mr176133,50466880,200,31329037,62.1,0.0384,0.0211,MRI_TBC,0.0842,25,3.6813
mr176430,31028506,200,21154498,68.2,0.0133,0.0539,MRI_HEC,0.1035,24,3.7277
mr176659,15534802,200,9792397,63.0,0.0576,0.0453,MRI_TBC,0.073,24,3.8965
mr176750,9151836,200,6774311,74.0,0.0467,0.0516,MRI_HEC,0.0926,24,3.7252
mr176802,19090111,200,13296494,69.7,0.0207,0.0402,DeveloperLog_DevLogService,0.0765,25,3.7338
mr176887,9946643,200,6513568,65.5,0.0097,0.0261,MRI_HEC,0.0536,26,3.9058
mr177658,21768552,200,13711796,63.0,0.0491,0.1117,DeveloperLog_DevLogService,0.0743,25,3.993
mr183848,11018525,200,7637397,69.3,0.0228,0.0263,MRI_FRR,0.0625,30,3.8904
mr188001,43602030,200,23087510,53.0,0.0282,0.0328,DeveloperLog_DevLogService,0.107,20,3.5606
mr189541,26513097,200,15021422,56.7,0.0091,0.0223,DeveloperLog_DevLogService,0.0925,23,3.5693
mr189701,26187889,200,14535416,55.5,0.0714,0.0278,MRI_HEC,0.0666,25,3.8265
mr189779,20060012,200,13368184,66.6,0.0083,0.0219,DeveloperLog_DevLogService,0.0777,23,3.6623
mr189880,11253312,200,7530636,66.9,0.0512,0.0886,MRI_MPU,0.2759,26,3.0441
mr190001,53176621,200,26279109,49.4,0.0207,0.0601,DeveloperLog_DevLogService,0.3154,24,3.0275
mr190192,50308972,200,30313847,60.3,0.0941,0.0281,MRI_HEC,0.0656,24,3.7934
mr190293,34809748,200,21222957,61.0,0.0809,0.0454,MRI_HEC,0.0945,31,3.8129
mr190387,21837535,200,12953443,59.3,0.0256,0.0256,DeveloperLog_DevLogService,0.0858,21,3.6802
mr190395,28319837,200,19016797,67.2,0.0557,0.0629,MRI_HEC,0.0896,21,3.7848
mr190519,22081290,200,12387982,56.1,0.0282,0.0375,DeveloperLog_DevLogService,0.0933,23,3.7112
mr193521,7813250,200,5939209,76.0,0.0743,0.0348,MRI_FRR,0.0758,25,3.788
mr194220,6877185,200,4660264,67.8,0.0044,0.0216,DeveloperLog_DevLogService,0.1744,20,3.5238
mr196296,24379292,200,14547314,59.7,0.0198,0.0302,DeveloperLog_DevLogService,0.0789,24,3.8543
mr200103,3367620,200,2239233,66.5,0.0147,0.0713,MRI_MPU,0.0766,25,3.8737
mr202008,16795510,200,10042647,59.8,0.0125,0.0621,DeveloperLog_DevLogService,0.1087,24,3.7197
mr202045,53048931,200,33644400,63.4,0.0301,0.0921,MRI_GIM,0.0786,31,4.0752
mr202551,12547395,200,7835631,62.4,0.0083,0.0291,DeveloperLog_DevLogService,0.0714,27,3.767
mr202596,17535713,200,10677002,60.9,0.0956,0.0482,MRI_FRR,0.0695,27,3.9673
mr213726,4180227,200,2340263,56.0,0.0114,0.0421,DeveloperLog_DevLogService,0.1282,19,3.5093
mr214701,3909473,200,3035166,77.6,0.01,0.096,MRI_HEC,0.1079,25,3.8421
mr237202,7543267,200,4358311,57.8,0.0775,0.0465,MRI_MPU,0.0634,31,3.6634
