sop_class_uid,sop_class_name,role,supported,source_pdf,page
1.2.840.10008.1.1,Verification,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.4,MR Image Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.4.1,Enhanced MR Image Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.4.2,MR Spectroscopy Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.4.3,Enhanced MR Color Image,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.7,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.7.3,Secondary Capture Image,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.11.1,Grayscale Softcopy,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.66,Raw Data Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.66.1,Spatial Registration Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.66.4,Segmentation Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.67,Real World Value Mapping,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.88.22,Enhanced SR Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.88.33,Comprehensive SR Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.104.1,Encapsulated PDF Storage SOP,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.481.1,RT Image Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.481.2,RT Dose Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.481.3,RT Structure Set Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.481.5,RT Plan Storage,SCU/SCP,yes,DCS_MR_XA50.pdf,2
1.2.840.10008.5.1.4.1.1.1,Computed Radiography Image,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.1.1,Digital X-Ray Image Storage,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.1.1.1,Digital X-Ray Image Storage –,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.1.2,Image Storage – For,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.1.3.1,Digital Intra-Oral X-Ray Image,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.2,CT Image Storage,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.2.1,Enhanced CT Image Storage,SCP,yes,DCS_MR_XA50.pdf,3
1.2.840.10008.5.1.4.1.1.3.1,Ultrasound Multi-frame Image,SCP,yes,DCS_MR_XA50.pdf,3
