filename,category,size_mb,path
770381463-Siemens-Dot-Cockpit-Mri-Protocol-Saver.pdf,Protocol Management,2.4,data\raw\siemens\770381463-Siemens-Dot-Cockpit-Mri-Protocol-Saver.pdf
ACRAppropriatenessCriteria.pdf,Clinical Guidelines,0.24,data\raw\siemens\ACRAppropriatenessCriteria.pdf
DCS_MR_XA50.pdf,System Specifications,0.97,data\raw\siemens\DCS_MR_XA50.pdf
DCS_MR_XA51A-V03.pdf,System Specifications,2.88,data\raw\siemens\DCS_MR_XA51A-V03.pdf
DCS_MR_XA60.pdf,System Specifications,2.92,data\raw\siemens\DCS_MR_XA60.pdf
MAGNETOM_SOLA_CSPL_1290_9114.pdf,Hardware Specifications,1.23,data\raw\siemens\MAGNETOM_SOLA_CSPL_1290_9114.pdf
MRI-PROTOCOLS-COMPLETE-May2016.pdf,Protocol Management,22.76,data\raw\siemens\MRI-PROTOCOLS-COMPLETE-May2016.pdf
MRI-SOP.pdf,Operating Procedures,0.42,data\raw\siemens\MRI-SOP.pdf
Radiologist MRI Interpretation Manual.pdf,Clinical Interpretation,6.87,data\raw\siemens\Radiologist MRI Interpretation Manual.pdf
SOP-MRI-Safety-Training.jpm-jrs.pdf,Safety Guidelines,0.35,data\raw\siemens\SOP-MRI-Safety-Training.jpm-jrs.pdf
