customer_id,total_error_events,total_warning_events,unique_error_patterns,unique_warning_patterns,top_error_source_1,top_error_source_1_count,top_error_source_2,top_error_source_2_count,top_error_source_3,top_error_source_3_count
mr141049,87120,762731,4,11,DeveloperError_DevLogService,34146,TransferMgr,26922,MRI_RFS,26052
mr155687,250262,1060626,3,8,DeveloperError_DevLogService,250262,,0,,0
mr175693,47693,105037,6,12,TransferMgr,20331,MRI_MIF,10526,MRI_MSR,9904
mr175727,5005,55307,4,23,MRI_FRR,1882,MRI_PFW,1272,MRI_PRS,1008
mr175832,46557,1334656,4,10,MRI_GWD,24772,TransferMgr,10958,DeveloperError_DevLogService,10827
mr176133,168703,284954,5,8,syngo_TransferFramework_SysLogService,73214,DeveloperError_DevLogService,69676,NLS_SysLogService,25813
mr176430,215478,1088763,10,13,DeveloperError_DevLogService,156349,MRI_MIF,29833,NLS_SysLogService,16389
mr176659,106276,471162,6,19,TransferMgr,59615,MRI_MIF,21125,MRI_MSR,13458
mr176750,76697,249804,10,14,TransferMgr,39357,DeveloperError_DevLogService,15524,MRI_GWD,11062
mr176802,137647,372813,10,11,DeveloperError_DevLogService,39096,MRI_MIF,32102,MRI_MSR,25267
mr176887,36752,128057,6,10,MRI_MIF,12523,TransferMgr,11536,MRI_MSR,8177
mr177658,13991,2057814,1,16,MRI_RFS,13991,,0,,0
mr183848,36402,171722,6,10,MRI_MIF,13269,TransferMgr,9259,DeveloperError_DevLogService,8794
mr188001,652508,524035,5,15,DeveloperError_DevLogService,652508,,0,,0
mr189541,38549,423057,3,12,DeveloperError_DevLogService,24528,TransferMgr,14021,,0
mr189701,362542,409801,11,7,syngo_TransferFramework_SysLogService,158697,DeveloperError_DevLogService,102908,TransferMgr,45704
mr189779,52327,225613,3,8,TransferMgr,29867,DeveloperError_DevLogService,22460,,0
mr189880,59943,898419,4,13,MRI_PFW,20489,TransferMgr,17219,syngo_TransferFramework_SysLogService,15042
mr190001,80674,2906611,4,15,TransferMgr,46302,DeveloperError_DevLogService,34372,,0
mr190192,532665,347681,6,9,DeveloperError_DevLogService,252060,_unknown,146378,TransferMgr,114519
mr190293,709984,977597,13,12,TransferJobExecutor_SysLogService,173737,syngo_TransferFramework_SysLogService,173618,DeveloperError_DevLogService,121366
mr190387,283270,101210,7,5,DeveloperError_DevLogService,262107,TransferMgr,21163,,0
mr190395,0,1408781,0,16,,0,,0,,0
mr190519,331654,338332,6,10,DeveloperError_DevLogService,306793,TransferMgr,24861,,0
mr193521,38540,147255,9,10,MsiInstaller,9282,MRI_CCS,7078,MRI_MIF,6882
mr194220,10300,87067,2,6,DeveloperError_DevLogService,10300,,0,,0
mr196296,229958,410663,6,6,DeveloperError_DevLogService,206497,TransferMgr,23461,,0
mr200103,12533,183259,3,6,TransferMgr,9401,Software Protection Platform Service,3132,,0
mr202008,121509,817272,11,12,MRI_CCS,39842,MRI_GWD,24798,TransferMgr,23075
mr202045,470111,4065784,10,15,DeveloperError_DevLogService,185757,MSSQL$MSSQLSERVER_SYDS,98860,TransferMgr,69925
mr202551,33327,197345,7,11,DeveloperError_DevLogService,9076,MRI_MIF,9025,NLS_SysLogService,5456
mr202596,403184,509355,14,18,syngo_TransferFramework_SysLogService,150501,DeveloperError_DevLogService,87845,syngo_TransferFramework,47932
mr213726,8674,127068,3,18,DeveloperError_DevLogService,8674,,0,,0
mr214701,27865,322621,12,17,TransferMgr,11796,DeveloperError_DevLogService,6993,MRI_MIF,3962
mr237202,206514,181768,13,23,DeveloperError_DevLogService,112972,_unknown,26469,MRI_RCC,15916
