customer_id,level,source,event_id,description,occurrence_count,safety_keyword
mr141049,I,MRI_FRR,273,Emergency evacuation released.,401926,emergency
mr141049,I,MRI_FRR,278,Emergency docking released.,401923,emergency
mr141049,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",96092,shutdown
mr141049,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,96090,shutdown
mr141049,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,96090,shutdown
mr141049,E,MRI_RFS,8,SAR limit(s) exceeded.,26052,sar limit
mr141049,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,24222,shutdown
mr141049,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",23433,shutdown
mr141049,I,DeveloperLog_DevLogService,0,CreateListOfChecks: Allocating SafetyRelatedQaCheckConfirmationWindow,16501,safety
mr141049,I,DeveloperLog_DevLogService,0,SafetyRelatedQaCheck.AreAllSafetyRelatedStepsDone()=True,16501,safety
mr155687,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",34028,shutdown
mr155687,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,34024,shutdown
mr155687,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,34024,shutdown
mr155687,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,18669,shutdown
mr155687,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",17770,shutdown
mr175693,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,160098,helium
mr175693,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,160091,helium
mr175693,I,MRI_HEC,1032,Helium compressor unit is running.,160091,helium
mr175693,I,MRI_FRR,278,Emergency docking released.,160070,emergency
mr175693,I,MRI_HEC,1018,Helium compressor Event log has updated.,12044,helium
mr175693,W,MRI_HEC,1011,Refrigeration Circuit Helium leakage.  Please contact Siemens Service.,11043,helium
mr175693,W,MRI_HEC,1011,Refrigeration Circuit Helium leakage.  Please contact Siemens Service. ID: syngo.MR.MRI_HEC_NlsMessageId.Resources.HECmsg.MRI_HEC_W_1011_HEC_HELIUM_LEAK_WARNING,11033,helium
mr175693,E,MRI_RFS,8,SAR limit(s) exceeded.,6932,sar limit
mr175693,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,5186,shutdown
mr175693,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,5186,shutdown
mr175693,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",5185,shutdown
mr175727,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,11780,helium
mr175727,I,MRI_HEC,1032,Helium compressor unit is running.,11780,helium
mr175727,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,11779,helium
mr175727,I,MRI_FRR,278,Emergency docking released.,9120,emergency
mr175727,S,MRI_FRR,278,Emergency docking released.,2655,emergency
mr175727,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,2252,shutdown
mr175727,I,MRI_CMM,106,RFCELK2364_COM-COM [Dev#<DEV_ID>] reports status: Online Patient Safety (OPS) has stopped the measurement.,1884,safety
mr175727,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",978,shutdown
mr175727,I,_unknown,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,872,shutdown
mr175832,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,295002,helium
mr175832,I,MRI_HEC,1032,Helium compressor unit is running.,295002,helium
mr175832,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,295001,helium
mr175832,I,MRI_FRR,278,Emergency docking released.,294941,emergency
mr175832,I,MRI_HEC,1023,Helium compressor Daily log has updated.,170798,helium
