Transaction ID;Site;Borne;Connecteur;Flotte;Date de début;Durée (HH:MM);Gain de charge (%);Energie délivrée (Wh);Montant facturé (CFA);T1 Créneau;T2 Créneau;T3 Créneau;T4 Créneau;T5 Créneau;T1 Prix/kWh (CFA);T2 Prix/kWh (CFA);T3 Prix/kWh (CFA);T4 Prix/kWh (CFA);T5 Prix/kWh (CFA);T1 Énergie (kWh);T2 Énergie (kWh);T3 Énergie (kWh);T4 Énergie (kWh);T5 Énergie (kWh);T1 Coût (CFA);T2 Coût (CFA);T3 Coût (CFA);T4 Coût (CFA);T5 Coût (CFA)
1768349099;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-14 00:04;00:07;11;5816.00;1338.00;00:00-23:59;;;;;230;;;;;5.816;;;;;1338;;;;
1768348129;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 23:48;00:10;16;8824.00;2030.00;00:00-23:59;;;;;230;;;;;8.824;;;;;2030;;;;
1768347453;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-13 23:37;00:25;41;22771.00;5238.00;00:00-23:59;;;;;230;;;;;22.771;;;;;5238;;;;
1768344657;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur A;Public;2026-01-13 22:50;00:22;43;17010.00;3913.00;00:00-23:59;;;;;230;;;;;17.01;;;;;3913;;;;
1768340809;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 21:46;00:29;44;14764.00;3396.00;00:00-23:59;;;;;230;;;;;14.764;;;;;3396;;;;
1768338080;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-13 21:00;00:11;22;8825.00;2030.00;00:00-23:59;;;;;230;;;;;8.825;;;;;2030;;;;
1768336482;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-13 20:34;00:20;15;4354.00;1002.00;00:00-23:59;;;;;230;;;;;4.354;;;;;1002;;;;
1768333173;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-13 19:39;00:53;54;15207.00;3498.00;00:00-23:59;;;;;230;;;;;15.207;;;;;3498;;;;
1768332640;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 19:30;01:07;90;38799.00;8924.00;00:00-23:59;;;;;230;;;;;38.799;;;;;8924;;;;
1768329890;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-13 18:44;01:30;77;20517.00;4719.00;00:00-23:59;;;;;230;;;;;20.517;;;;;4719;;;;
1768326097;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-13 17:41;00:05;12;4483.00;1032.00;00:00-23:59;;;;;230;;;;;4.483;;;;;1032;;;;
1768325110;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-13 17:24;00:18;32;8692.00;2000.00;00:00-23:59;;;;;230;;;;;8.692;;;;;2000;;;;
1768323695;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 17:01;00:52;32;11795.00;2713.00;00:00-23:59;;;;;230;;;;;11.795;;;;;2713;;;;
1768323336;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-13 16:55;00:26;28;11386.00;2619.00;00:00-23:59;;;;;230;;;;;11.386;;;;;2619;;;;
1768321698;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 16:27;00:21;34;12249.00;2818.00;00:00-23:59;;;;;230;;;;;12.249;;;;;2818;;;;
1768321533;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 16:25;00:01;2;833.00;192.00;00:00-23:59;;;;;230;;;;;0.833;;;;;192;;;;
1768317861;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-13 15:24;00:22;47;18829.00;4331.00;00:00-23:59;;;;;230;;;;;18.829;;;;;4331;;;;
1768316963;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-13 15:09;00:37;59;23977.00;5515.00;00:00-23:59;;;;;230;;;;;23.977;;;;;5515;;;;
1768314882;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-13 14:34;00:58;36;26124.00;6009.00;00:00-23:59;;;;;230;;;;;26.124;;;;;6009;;;;
1768313343;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-13 14:08;01:55;90;73954.00;17010.00;00:00-23:59;;;;;230;;;;;73.954;;;;;17010;;;;
1768312232;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur B;Public;2026-01-13 13:50;00:21;33;20766.00;4777.00;00:00-23:59;;;;;230;;;;;20.766;;;;;4777;;;;
1768311458;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur B;Public;2026-01-13 13:37;00:06;11;6205.00;1428.00;00:00-23:59;;;;;230;;;;;6.205;;;;;1428;;;;
1768310424;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-13 13:20;00:41;52;22832.00;5252.00;00:00-23:59;;;;;230;;;;;22.832;;;;;5252;;;;
1768302630;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-13 11:10;00:19;30;17452.00;4014.00;00:00-23:59;;;;;230;;;;;17.452;;;;;4014;;;;
1768299170;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-13 10:12;00:24;46;19854.00;4567.00;00:00-23:59;;;;;230;;;;;19.854;;;;;4567;;;;
1768299024;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-13 10:10;00:26;36;15293.00;3518.00;00:00-23:59;;;;;230;;;;;15.293;;;;;3518;;;;
1768297896;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-13 09:51;00:09;9;2264.00;521.00;00:00-23:59;;;;;230;;;;;2.264;;;;;521;;;;
1768296812;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-13 09:33;00:31;52;13904.00;3198.00;00:00-23:59;;;;;230;;;;;13.904;;;;;3198;;;;
1768296039;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-13 09:20;00:29;50;13084.00;3010.00;00:00-23:59;;;;;230;;;;;13.084;;;;;3010;;;;
1768294999;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-13 09:02;00:51;75;13002.00;2991.00;00:00-23:59;;;;;230;;;;;13.002;;;;;2991;;;;
1768294065;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-13 08:47;00:59;77;43533.00;10013.00;00:00-23:59;;;;;230;;;;;43.533;;;;;10013;;;;
1768286630;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-13 06:43;00:06;13;5452.00;1254.00;00:00-23:59;;;;;230;;;;;5.452;;;;;1254;;;;
1768273525;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-13 03:04;01:14;75;35605.00;8190.00;00:00-23:59;;;;;230;;;;;35.605;;;;;8190;;;;
1768268395;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur A;Public;2026-01-13 01:39;00:25;22;9591.00;2206.00;00:00-23:59;;;;;230;;;;;9.591;;;;;2206;;;;
1768266508;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur A;Public;2026-01-13 01:08;00:28;48;21673.00;4985.00;00:00-23:59;;;;;230;;;;;21.673;;;;;4985;;;;
1768254770;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 21:52;05:12;61;16090.00;3701.00;00:00-23:59;;;;;230;;;;;16.09;;;;;3701;;;;
1768254577;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Illigo;2026-01-12 21:49;00:34;52;20242.00;4656.00;00:00-23:59;;;;;230;;;;;20.242;;;;;4656;;;;
1768254224;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-12 21:43;00:54;24;8438.00;1941.00;00:00-23:59;;;;;230;;;;;8.438;;;;;1941;;;;
1768254149;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur A;Public;2026-01-12 21:42;00:58;72;23892.00;5496.00;00:00-23:59;;;;;230;;;;;23.892;;;;;5496;;;;
1768248878;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 20:14;00:58;51;19262.00;4431.00;00:00-23:59;;;;;230;;;;;19.262;;;;;4431;;;;
1768248493;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 20:07;00:17;32;12941.00;2977.00;00:00-23:59;;;;;230;;;;;12.941;;;;;2977;;;;
1768248394;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-12 20:06;00:54;73;32529.00;7482.00;00:00-23:59;;;;;230;;;;;32.529;;;;;7482;;;;
1768247535;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-12 19:51;00:46;74;30121.00;6928.00;00:00-23:59;;;;;230;;;;;30.121;;;;;6928;;;;
1768245774;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-12 19:22;00:14;12;9230.00;2123.00;00:00-23:59;;;;;230;;;;;9.23;;;;;2123;;;;
1768243606;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur B;Public;2026-01-12 18:46;01:11;89;35955.00;8270.00;00:00-23:59;;;;;230;;;;;35.955;;;;;8270;;;;
1768242651;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 18:30;00:10;12;2180.00;502.00;00:00-23:59;;;;;230;;;;;2.18;;;;;502;;;;
1768241524;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-12 18:11;00:16;10;2134.00;491.00;00:00-23:59;;;;;230;;;;;2.134;;;;;491;;;;
1768240841;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 18:00;00:27;52;8683.00;1998.00;00:00-23:59;;;;;230;;;;;8.683;;;;;1998;;;;
1768239761;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur B;Public;2026-01-12 17:42;01:12;78;21008.00;4832.00;00:00-23:59;;;;;230;;;;;21.008;;;;;4832;;;;
1768238196;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-12 17:16;00:53;66;17827.00;4101.00;00:00-23:59;;;;;230;;;;;17.827;;;;;4101;;;;
1768238186;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 17:16;00:18;34;15088.00;3471.00;00:00-23:59;;;;;230;;;;;15.088;;;;;3471;;;;
1768236407;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Illigo;2026-01-12 16:46;00:47;72;29412.00;6765.00;00:00-23:59;;;;;230;;;;;29.412;;;;;6765;;;;
1768236074;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-12 16:40;00:33;47;27040.00;6220.00;00:00-23:59;;;;;230;;;;;27.04;;;;;6220;;;;
1768229863;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 14:57;00:26;47;12178.00;2801.00;00:00-23:59;;;;;230;;;;;12.178;;;;;2801;;;;
1768228302;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 14:31;00:15;7;3309.00;762.00;00:00-23:59;;;;;230;;;;;3.309;;;;;762;;;;
1768227624;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 14:20;01:22;78;21007.00;4832.00;00:00-23:59;;;;;230;;;;;21.007;;;;;4832;;;;
1768224773;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 13:32;00:57;78;34789.00;8002.00;00:00-23:59;;;;;230;;;;;34.789;;;;;8002;;;;
1768222852;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-12 13:00;00:39;27;15767.00;3627.00;00:00-23:59;;;;;230;;;;;15.767;;;;;3627;;;;
1768222802;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-12 12:59;00:36;51;34176.00;7861.00;00:00-23:59;;;;;230;;;;;34.176;;;;;7861;;;;
1768222438;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-12 12:53;00:05;4;2881.00;663.00;00:00-23:59;;;;;230;;;;;2.881;;;;;663;;;;
1768221899;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-12 12:44;00:14;23;11930.00;2744.00;00:00-23:59;;;;;230;;;;;11.93;;;;;2744;;;;
1768220105;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur B;Public;2026-01-12 12:14;01:12;75;20021.00;4605.00;00:00-23:59;;;;;230;;;;;20.021;;;;;4605;;;;
1768217664;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 11:34;00:10;10;8846.00;2035.00;00:00-23:59;;;;;230;;;;;8.846;;;;;2035;;;;
1768217248;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur B;Public;2026-01-12 11:27;01:04;85;37750.00;8683.00;00:00-23:59;;;;;230;;;;;37.75;;;;;8683;;;;
1768216001;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 11:06;00:15;23;8737.00;2010.00;00:00-23:59;;;;;230;;;;;8.737;;;;;2010;;;;
1768215723;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur A;Public;2026-01-12 11:01;00:20;37;9621.00;2213.00;00:00-23:59;;;;;230;;;;;9.621;;;;;2213;;;;
1768213554;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur A;Public;2026-01-12 10:25;01:12;96;41936.00;9646.00;00:00-23:59;;;;;230;;;;;41.936;;;;;9646;;;;
1768212975;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-12 10:15;00:42;67;26690.00;6139.00;00:00-23:59;;;;;230;;;;;26.69;;;;;6139;;;;
1768212619;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-12 10:09;00:19;41;14030.00;3227.00;00:00-23:59;;;;;230;;;;;14.03;;;;;3227;;;;
1768210902;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-12 09:41;00:51;89;34851.00;8016.00;00:00-23:59;;;;;230;;;;;34.851;;;;;8016;;;;
1768204787;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-12 07:59;00:43;69;27442.00;6312.00;00:00-23:59;;;;;230;;;;;27.442;;;;;6312;;;;
1768180534;Petro Ivoire GANDHI;PI-GA-CP03;Connecteur B;Public;2026-01-12 01:15;00:21;46;18441.00;4242.00;00:00-23:59;;;;;230;;;;;18.441;;;;;4242;;;;
1768171779;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Illigo;2026-01-11 22:49;06:40;39;15649.00;3600.00;00:00-23:59;;;;;230;;;;;15.649;;;;;3600;;;;
1768171348;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Illigo;2026-01-11 22:42;00:05;7;2893.00;666.00;00:00-23:59;;;;;230;;;;;2.893;;;;;666;;;;
1768171306;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-11 22:41;00:06;9;3542.00;815.00;00:00-23:59;;;;;230;;;;;3.542;;;;;815;;;;
1768168479;Petro Ivoire GANDHI;PI-GA-CP02;Connecteur B;Public;2026-01-11 21:54;00:34;52;14003.00;3221.00;00:00-23:59;;;;;230;;;;;14.003;;;;;3221;;;;
1768167494;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-11 21:37;00:48;67;17602.00;4049.00;00:00-23:59;;;;;230;;;;;17.602;;;;;4049;;;;
1768166555;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-11 21:22;00:04;5;2084.00;480.00;00:00-23:59;;;;;230;;;;;2.084;;;;;480;;;;
1768166492;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-11 21:21;00:05;6;2769.00;637.00;00:00-23:59;;;;;230;;;;;2.769;;;;;637;;;;
1768165836;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur B;Public;2026-01-11 21:10;00:09;15;6048.00;1392.00;00:00-23:59;;;;;230;;;;;6.048;;;;;1392;;;;
1768165815;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-11 21:09;00:10;17;6790.00;1562.00;00:00-23:59;;;;;230;;;;;6.79;;;;;1562;;;;
1768158411;Petro Ivoire ABATTA;PI-AB-CP01;Connecteur A;Public;2026-01-11 19:06;00:50;67;19581.00;4504.00;00:00-23:59;;;;;230;;;;;19.581;;;;;4504;;;;
1768155754;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur A;Public;2026-01-11 18:22;00:31;51;13045.00;3001.00;00:00-23:59;;;;;230;;;;;13.045;;;;;3001;;;;
1768153688;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-11 17:47;00:46;51;13315.00;3063.00;00:00-23:59;;;;;230;;;;;13.315;;;;;3063;;;;
1768153459;Petro Ivoire ABATTA;PI-AB-CP02;Connecteur B;Public;2026-01-11 17:43;00:51;80;31487.00;7243.00;00:00-23:59;;;;;230;;;;;31.487;;;;;7243;;;;
1768151346;Petro Ivoire GANDHI;PI-GA-CP01;Connecteur A;Public;2026-01-11 17:08;00:23;38;15213.00;3499.00;00:00-23:59;;;;;230;;;;;15.213;;;;;3499;;;;
