customer,total_events,unique_patterns,mri_events,mri_pct,errors,warnings,summary_kb
mr141049,31576681,3193645,20657719,65.4,360858,1213996,665914.0
mr155687,32556078,3025471,21393705,65.7,391929,1540372,940526.0
mr175693,11833462,1162318,8170563,69.0,113794,243272,129717.0
mr175727,2262088,140390,1523817,67.4,68935,106687,28673.6
mr175832,24614143,2215212,17009607,69.1,193469,1666584,1073468.5
mr176133,50466880,4697372,31329037,62.1,1937635,1062910,1485834.5
mr176430,31028506,4017620,21154498,68.2,412323,1671779,423106.7
mr176659,15534802,1438203,9792397,63.0,895391,703545,273653.9
mr176750,9151836,1017526,6774311,74.0,427788,472552,152760.9
mr176802,19090111,2452495,13296494,69.7,395754,767988,278544.4
mr176887,9946643,1057657,6513568,65.5,96785,259511,178452.4
mr177658,21768552,1800602,13711796,63.0,1068170,2430722,664058.5
mr183848,11018525,1152104,7637397,69.3,250855,289844,163572.9
mr188001,43602030,6043228,23087510,53.0,1230362,1430779,1773064.6
mr189541,26513097,2940017,15021422,56.7,241586,591044,152859.9
mr189701,26187889,3604820,14535416,55.5,1870178,727691,1104296.4
mr189779,20060012,2127650,13368184,66.6,166257,439511,347701.8
mr189880,11253312,674763,7530636,66.9,575642,997134,434312.3
mr190001,53176621,2955525,26279109,49.4,1100222,3196485,262664.7
mr190192,50308972,4924142,30313847,60.3,4736038,1411934,1895579.0
mr190293,34809748,4252413,21222957,61.0,2817184,1580838,1215296.1
mr190387,21837535,2637368,12953443,59.3,559015,559689,1041285.9
mr190395,28319837,2514100,19016797,67.2,1578719,1781070,718899.0
mr190519,22081290,3277450,12387982,56.1,622108,827938,1016314.2
mr193521,7813250,797208,5939209,76.0,580833,272285,71676.2
mr194220,6877185,849275,4660264,67.8,30552,148309,43238.0
mr196296,24379292,2815989,14547314,59.7,483029,735192,822678.5
mr200103,3367620,301850,2239233,66.5,49554,240176,87617.7
mr202008,16795510,1796636,10042647,59.8,209715,1043153,495250.4
mr202045,53048931,4355157,33644400,63.4,1597201,4884922,1368094.7
mr202551,12547395,1323938,7835631,62.4,104308,364902,173867.4
mr202596,17535713,2140883,10677002,60.9,1676212,845392,836084.3
mr213726,4180227,1207670,2340263,56.0,47595,175881,87291.9
mr214701,3909473,514143,3035166,77.6,39188,375314,34777.0
mr237202,7543267,696259,4358311,57.8,584726,350760,100307.4
