source,occurrence_count
DeveloperLog_DevLogService,3711360
MRI_FRR,2604695
_unknown,1681903
Event_UsageTrail,1645730
MRI_GIM,1497605
MRI_HEC,1267057
MRI_MSR,1159090
syngo_Application,1071772
MRI_COS,1036114
MRI_TBC,876256
MRI_MPU,755888
MRI_CPA,657852
MRI_CMM,445453
MRI_PTG,373038
MRI_PFW,336886
ExportImportFramework,302041
SampleFile,276810
MRI_PAC,249941
MRI_EXU,217448
MRI_PRC,215879
MRI_SIM,186683
MRI_SEP,176098
MRI_RSA,132976
PowerShell,116989
NVWMI,102799
MRI_SUT,81163
MRI_CCS,59436
MRI_PSR,57154
MRI_GSP,53793
MRI_PRS,40406
MSSQL$MSSQLSERVER_SYDS,35366
MRI_MOV,30049
MRI_IRC,27395
Software Protection Platform Service,23032
MRI_MIF,22996
DeveloperError_DevLogService,20725
MRI_RFS,17787
TM_TQ,12935
MRI_SCT,12146
NLS_SysLogService,11433
MRI_GWD,11286
syngo.MR.HostInfra.Telemetry,10391
SystemStatusMonitoringRSC_SysLogService,9687
MsiInstaller,9554
Autoreport,7710
MRI_MPT,6627
Microsoft-Windows-FilterManager,5644
Microsoft-Windows-Kernel-Processor-Power,4836
Microsoft-Windows-Kernel-General,4589
MRI_CEG,4530
