level,source,event_id,masked_description,occurrence_count
I,MRI_CPA,1042,The display and backlight have been deactivated via the switched supply voltage.,272807
I,MRI_CMM,1365,Patient table is docked.,141392
I,MRI_CMM,1374,48V supply voltage for patient table is enabled.,141387
I,MRI_HEC,1029,DB25: status present.,138194
I,MRI_HEC,1032,Helium compressor unit is running.,138194
I,MRI_FRR,278,Emergency docking released.,138181
I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,138175
I,MRI_HEC,1025,Coldhead is running.,138174
I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,138174
I,MRI_TBC,247,"TxK2304-NIOS [Dev#<DEV_ID>] unit info: NIOS has an error regarding the logging functionality. Select ""Restart System"". If the problem persists, please contact Siemens Service.",138172
I,MRI_TBC,249,"TxK2304-NIOS [Dev#<DEV_ID>] unit info: NIOS has an error regarding the jtag uart functionality. Select ""Restart System"". If the problem persists, please contact Siemens Service.",138172
I,MRI_PFW,9113,"InjectorDS425-Injector [Dev#<DEV_ID>] warning: The component is not connected. Connect component to MR System Select ""Restart System"". If the problem persists, please contact Siemens Service.",137732
I,MRI_TBC,105,TxK2304 [Dev#<DEV_ID>] unit info: CH0_TX_QUEUE_SEQUENZER_BUSY0,134335
I,MRI_FRR,16,The scanning has finished.,132563
I,MRI_PAC,104,The following licenses are needed to run the protocol   N_TimApplication.,110840
I,DeveloperLog_DevLogService,0,Data Preparation: Perform '<GUID>' on '1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>.0.0.0'.,94490
I,MRI_CPA,1068,The rotary wheel on the control panel is deflected.,75312
I,DeveloperLog_DevLogService,0,CheckIn-Completed: <GUID>|syngo.MR.PreProcessing.Service.Host.Task.Executor.ProcessingJobEnvironment,69560
I,MRI_TBC,106,TxK2304 [Dev#<DEV_ID>] unit info: CH0_TX_QUEUE_SEQUENZER_BUSY1,63059
I,ExportImportFramework,0,The process syngo.ConfigConvert.exe has finished and the exitCode was 0.,62450
I,MRI_FRR,263,"XAxisPlusPossible: 0, XAxisMinusPossible: 0, argument values are boolean.",58591
I,MRI_PSR,49,Beat Sensor cardiac signal is off,56483
I,MRI_MPU,104,Magnet Supervision: Pressure Heater is not active.,53089
I,MRI_MPU,70,Magnet Supervision: Pressure heater is active.,52126
I,DeveloperLog_DevLogService,0,"ACQM: Checked-In 'CheckinCompleted 1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID> 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>.0.0.0 1.2.840.<NUM_ID>.5.1.4.1.1.4.1 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID> 1'. (-1), Objects:",49782
I,MRI_FRR,910,Current coil temperatures (degree C): board: 32.00,48628
I,DeveloperLog_DevLogService,0,"ACQM: Notify series complete '1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>.0.0.0' to QA '<GUID>' with: ViewingOptions: SuppressDisplay: False, PrintOptions: AutoPrint: False, AutoPrintOptions: , RoutingOptions: , DistributionOptions: , PluginOptions: null. (-1), Objects:",46195
I,MRI_COS,21,SPICE prepare time: 8 ms,41888
W,DeveloperLog_DevLogService,0,Could not get transfer preference value 'TerminationTimeoutPostCancellation'. Using 4 seconds as fallback value.,41482
I,MRI_PTG,110,Patient table information: Z-axis: start motion acknowledgment,40318
I,ExportImportFramework,0,The path to the directory where configuration XML files are located: C:\Program Files\Siemens\Numaris\bin\Services\OPM\Configuration\ExportImport\Transfers,40095
I,ExportImportFramework,0,file:///C:/Program Files/Siemens/Numaris/bin/syngo.Services.OPM.Configuration.ExportImport.exe has been executed and the exitCode is: 0,40095
I,DeveloperLog_DevLogService,0,"Updating MPPS for 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID> (0/Notice), Objects:",39098
I,MRI_GSP,0,Load image in segment: planningLeft,39020
W,DeveloperLog_DevLogService,0,"Reconnect attempt #2 for Client <GUID> failed. System.ServiceModel.EndpointNotFoundException: Could not connect to net.tcp://10.16.30.20:<NUM_ID>/syngo.Services.Workflow/AdapterWorkflowStatus. The connection attempt lasted for a time span of <TIME>.<NUM_ID>. TCP error code <NUM_ID>: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>.   Server stack trace:     at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.BufferedConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.ConnectionPoolHelper.EstablishConnection(TimeSpan timeout)    at System.ServiceModel.Channels.ClientFramingDuplexSessionChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.LayeredChannel`1.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.ServiceChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)  Exception rethrown at [0]:     at System.Runtime.Remoting.Proxies.RealProxy.HandleReturnMessage(IMessage reqMsg, IMessage retMsg)    at System.Runtime.Remoting.Proxies.RealProxy.PrivateInvoke(MessageData& msgData, Int32 type)    at System.ServiceModel.ICommunicationObject.Open()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.CreateAndOpenChannel()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.EnsureChannelIsOpen(Boolean forceNewChannelCreation)    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.syngo.Services.Workflow.WCF.IAdapterClient.Connect()    at syngo.Services.Workflow.WCF.AdapterClientBehaviors.AutoReconnectBehavior.TryToReconnect() --> Inner exception (level 1): System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>    at System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot, SocketAddress socketAddress)    at System.Net.Sockets.Socket.Connect(EndPoint remoteEP)    at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)",38469
W,DeveloperLog_DevLogService,0,"Reconnect attempt #1 for Client <GUID> failed. System.ServiceModel.EndpointNotFoundException: Could not connect to net.tcp://10.16.30.20:<NUM_ID>/syngo.Services.Workflow/AdapterWorkflowStatus. The connection attempt lasted for a time span of <TIME>.<NUM_ID>. TCP error code <NUM_ID>: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>.   Server stack trace:     at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.BufferedConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.ConnectionPoolHelper.EstablishConnection(TimeSpan timeout)    at System.ServiceModel.Channels.ClientFramingDuplexSessionChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.LayeredChannel`1.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.ServiceChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)  Exception rethrown at [0]:     at System.Runtime.Remoting.Proxies.RealProxy.HandleReturnMessage(IMessage reqMsg, IMessage retMsg)    at System.Runtime.Remoting.Proxies.RealProxy.PrivateInvoke(MessageData& msgData, Int32 type)    at System.ServiceModel.ICommunicationObject.Open()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.CreateAndOpenChannel()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.EnsureChannelIsOpen(Boolean forceNewChannelCreation)    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.syngo.Services.Workflow.WCF.IAdapterClient.Connect()    at syngo.Services.Workflow.WCF.AdapterClientBehaviors.AutoReconnectBehavior.TryToReconnect() --> Inner exception (level 1): System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>    at System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot, SocketAddress socketAddress)    at System.Net.Sockets.Socket.Connect(EndPoint remoteEP)    at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)",38468
W,DeveloperLog_DevLogService,0,"Reconnect attempt #3 for Client <GUID> failed. System.ServiceModel.EndpointNotFoundException: Could not connect to net.tcp://10.16.30.20:<NUM_ID>/syngo.Services.Workflow/AdapterWorkflowStatus. The connection attempt lasted for a time span of <TIME>.<NUM_ID>. TCP error code <NUM_ID>: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>.   Server stack trace:     at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.BufferedConnectionInitiator.Connect(Uri uri, TimeSpan timeout)    at System.ServiceModel.Channels.ConnectionPoolHelper.EstablishConnection(TimeSpan timeout)    at System.ServiceModel.Channels.ClientFramingDuplexSessionChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.LayeredChannel`1.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)    at System.ServiceModel.Channels.ServiceChannel.OnOpen(TimeSpan timeout)    at System.ServiceModel.Channels.CommunicationObject.Open(TimeSpan timeout)  Exception rethrown at [0]:     at System.Runtime.Remoting.Proxies.RealProxy.HandleReturnMessage(IMessage reqMsg, IMessage retMsg)    at System.Runtime.Remoting.Proxies.RealProxy.PrivateInvoke(MessageData& msgData, Int32 type)    at System.ServiceModel.ICommunicationObject.Open()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.CreateAndOpenChannel()    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.EnsureChannelIsOpen(Boolean forceNewChannelCreation)    at syngo.Services.Workflow.WCF.AbstractAdapterClient`1.syngo.Services.Workflow.WCF.IAdapterClient.Connect()    at syngo.Services.Workflow.WCF.AdapterClientBehaviors.AutoReconnectBehavior.TryToReconnect() --> Inner exception (level 1): System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 10.16.30.20:<NUM_ID>    at System.Net.Sockets.Socket.DoConnect(EndPoint endPointSnapshot, SocketAddress socketAddress)    at System.Net.Sockets.Socket.Connect(EndPoint remoteEP)    at System.ServiceModel.Channels.SocketConnectionInitiator.Connect(Uri uri, TimeSpan timeout)",38461
I,DeveloperLog_DevLogService,0,"ACQM: Notify series complete '1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>' to QA '<GUID>' with: ViewingOptions: SuppressDisplay: True, PrintOptions: AutoPrint: False, AutoPrintOptions: , RoutingOptions: , DistributionOptions: , PluginOptions: null. (-1), Objects:",37868
I,MRI_FRR,264,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean.",37166
I,MRI_FRR,265,"ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",35920
I,MRI_FRR,258,Patient table has stopped moving. Absolute PTAB Position: -<NUM_ID>,34602
I,MRI_FRR,257,Patient table has started moving. Absolute PTAB Position: -<NUM_ID>,34527
I,DeveloperLog_DevLogService,0,"ACQM: Checked-In 'CheckinCompleted 1.2.840.<NUM_ID>.4.<NUM_ID>.<NUM_ID>.<NUM_ID>.<NUM_ID> 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID> 1.2.840.<NUM_ID>.5.1.4.1.1.88.22 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID> 1'. (-1), Objects:",34320
I,MRI_MSR,100,"Start prepare. (Protocol: 'AdjFre', Sequence: '%AdjustSeq%/AdjFreSeq')",33466
I,MRI_MSR,102,"Preparation OK (Protocol: 'AdjFre', Sequence: '%AdjustSeq%/AdjFreSeq')",33435
I,MRI_MSR,103,"Start measurement. (Protocol: 'AdjFre', Sequence: '%AdjustSeq%/AdjFreSeq')",33417
I,MRI_MSR,104,"Measurement finished OK. (Protocol: 'AdjFre', Sequence: '%AdjustSeq%/AdjFreSeq')",33314
I,MRI_PTG,101,Patient table information: Z-axis: target reached.,32039
I,DeveloperLog_DevLogService,0,Workflow <GUID>@WorkflowScannerQaAvPrimary was notified with Series 1.3.12.2.1107.5.2.55.<NUM_ID>.<NUM_ID>. Prior flag: False,30555
I,MRI_MSR,2009,Measurement uses RT event controller plugin (QuietRTEventController@libGradNoiseDrop).,28821
I,MRI_COS,21,SPICE prepare time: 2 ms,26949
I,MRI_MSR,100,"Start prepare. (Protocol: 'AdjDico', Sequence: '%AdjustSeq%/AdjDicoSeq')",23876
I,MRI_MSR,102,"Preparation OK (Protocol: 'AdjDico', Sequence: '%AdjustSeq%/AdjDicoSeq')",23700
I,MRI_MSR,103,"Start measurement. (Protocol: 'AdjDico', Sequence: '%AdjustSeq%/AdjDicoSeq')",23670
I,MRI_MSR,104,"Measurement finished OK. (Protocol: 'AdjDico', Sequence: '%AdjustSeq%/AdjDicoSeq')",23644
I,MRI_SIM,3015,E-Shim (SHIMK2259 [Dev#<DEV_ID>]): Shim current in channel 4 was updated successfully.,21771
I,MRI_SIM,3011,E-Shim (SHIMK2259 [Dev#<DEV_ID>]): Shim current in channel 1 was updated successfully.,21667
I,MRI_SIM,3014,E-Shim (SHIMK2259 [Dev#<DEV_ID>]): Shim current in channel 3 was updated successfully.,21666
I,MRI_SIM,3013,E-Shim (SHIMK2259 [Dev#<DEV_ID>]): Shim current in channel 2 was updated successfully.,21431
I,MRI_SIM,3016,E-Shim (SHIMK2259 [Dev#<DEV_ID>]): Shim current in channel 5 was updated successfully.,21245
I,MRI_MSR,101,Valid coil select (Coil select #1: 'BC'),20764
I,MRI_COS,21,SPICE prepare time: 9 ms,20369
I,MRI_FRR,264,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean.",19988
I,NVWMI,3,"[tid = <HEX>, pid = <HEX>] - NV GPUs detected",19897
I,DeveloperLog_DevLogService,0,Storage-Service: Istances = 2 | Archivable = 1 | Contracts = 1.,19446
I,MRI_FRR,4,"A coil has been plugged or unplugged, the IRQ Pin has been activated.",17966
I,MRI_GSP,0,Load image in segment: planningMiddle,17810
I,DeveloperLog_DevLogService,0,Storage-Service: Istances = 1 | Archivable = 1 | Contracts = 1.,17790
I,MRI_MSR,100,"Start prepare. (Protocol: 'AdjCoilSens', Sequence: '%AdjustSeq%/AdjCoilSensSeq')",17759
I,MRI_MSR,102,"Preparation OK (Protocol: 'AdjCoilSens', Sequence: '%AdjustSeq%/AdjCoilSensSeq')",17754
