response_id,interviewer,interview_date,country,institution_name,section,subsection,question_id,question_code,question_text,question_type,field_name,response_value,response_text,response_comment
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,metadata,basic,Q001,SC2,Type of Organization,checkbox_multiple,org_type,"public,academic,cancer_center",,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,metadata,basic,Q002,,Has Radiation Therapy Department,checkbox_single,has_rt_dept,yes,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,role,Q003,SC6,Respondent Role,checkbox_single,role,head_medical_physicist,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,network,Q004,D1,Part of Larger Network,checkbox_single,network_type,hub_of_network,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,equipment,Q005,D2,Number of LINACs,checkbox_single,num_linacs,4,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,equipment,Q006,Q4,Number of CT Simulators,checkbox_single,num_ct_simulators,2,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,equipment,Q007,,Number of Brachytherapy Units,checkbox_single,num_brachytherapy,1,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,patients,Q008,D7,Patients Per Year with External Beam,checkbox_single,patients_per_year,2000-2499,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,background,patients,Q009,D8,Percentage Planned with MR Images,percentage,pct_mr_planning,65,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,pre_questions,usage,Q010,,Using MR Images for RT Planning,checkbox_single,mr_usage,yes_acquired_for_rt,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,pre_questions,usage,Q011,,Can Provide Detailed Answers,checkbox_single,can_provide_details,yes,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,equipment,mr_systems,Q012,,MR Vendor 1,text,mr_vendor_1,,Siemens Healthineers,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,equipment,mr_systems,Q013,,MR Model 1,text,mr_model_1,,MAGNETOM Vida,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,equipment,mr_systems,Q014,,MR Vendor 2,text,mr_vendor_2,,GE Healthcare,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,equipment,mr_systems,Q015,,MR Model 2,text,mr_model_2,,SIGNA Artist,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,equipment,mr_systems,Q016,,Dedicated MR for RT,checkbox_single,dedicated_mr,yes_in_department,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,clinical_sites,treating,Q017,D9,Clinical Site - Brain - Treating,checkbox,brain_treating,true,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,clinical_sites,planning,Q018,D10,Clinical Site - Brain - Planning with MR,checkbox,brain_planning,true,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,clinical_sites,replanning,Q019,D11,Clinical Site - Brain - Replanning/Adaptation,checkbox,brain_replanning,false,,
R001,Dr. Sarah Chen,2024-01-15,Germany,University Hospital Munich,clinical_sites,treating,Q020,D9,Clinical Site - Brain Mets - Treating,checkbox,brain_mets_treating,true,,
